@samblakeslee, R
@anthonycannella, R
@BillEmmerson, R
@JeanFuller, R
@TedGaines, R
@SenTomHarman, R
@bobhuff99, R
@DougLaMalfa, R
@SharonRunner, R
@TonyStrickland, R
@mimiwalters, R
@markwyland, R
@KatchoAchadjian, R
@GovernorBentley, R
@AKGovParnell, R
@govbrewer, R
@flgovscott, R
@Governor_Deal, R
@GovernorDeal, R
@PressGovDeal, R
@ButchOtter, R
@mymanmitch, R
@terrybranstad, R
@govsambrownback, R
@BobbyJindal, R
@GovernorLePage, R
@lepage2010, R
@onetoughnerd, R
@HaleyBarbour, R
@Gov_Heineman, R
@BrianSandoval, R
@GovChristie, R
@Gov_Martinez, R
@govdalrymple, R
@JohnKasich, R
@repmaryfallin, R
@MaryFallin, R
@GovMaryFallin, R
@CorbettforGov, R
@nikkihaley, R
@dennisdaugaard, R
@SDGovDaugaard, R
@billhaslam, R
@GovernorPerry, R
@TexGov, R
@governorherbert, R
@bobmcdonnell, R
@GovernorVA, R
@ScottKWalker, R
@GovWalker, R
@mattmeadforgov, R
@treadwell4ltgov, R
@ltgovmarkdarr, R
@markdarr, R
@Carroll4LG, R
@CaseyCagle, R
@LtGovBradLittle, R
@BeckySkillman, R
@KimReynoldsIA, R
@JayDardenne, R
@PhilBryantMS, R
@PeterKinder, R
@BrianKrolicki, R
@LtGovGuadagno, R
@MaryTaylorOh, R
@bobney, R
@fredthompson, R
@danaperino, R
@KurtBills, R
@karlrove, R
@timpawlenty, R
@sarahpalinusa, R
@MarkSanford, R
@Schwazenegger, R
@JonHuntsman, R
@govmikehuckabee, R
@GovernorRiley, R
@laurawbush, R
@PatMeehanPA, R
@Bob_Schaffer, R
@CharlieBassNH, R
@SenatorKirk, R
@Kirk4Senate, R
